Matrix_Size,Block_Dim_X,Block_Dim_Y,Kernel_Type,Data_Type,Avg_Execution_Time_ms,Execution_Time_Stddev,Total_Energy_J,Avg_Power_W,Peak_Power_W,Baseline_Power_W,Initial_Temp_C,Peak_Temp_C,Final_Temp_C,GFLOPS,GFLOPS_per_Watt,Memory_Bandwidth_GBps,Threads_per_Block
4096,16,32,4,0,30.7525,0.0444988,33.4437,134.958,189.252,51.2185,0,34,33,4469.19,53.3704,6.54667,512
4096,32,16,4,0,58.7643,0.0420386,64.932,131.876,164.799,51.2135,0,34,33,2338.82,28.995,3.426,512
1024,8,8,4,1,2.07361,0.0454773,0,62.253,68.593,51.2535,0,33,32,1035.63,94.1522,12.1363,64
1024,16,16,4,1,1.5225,0.0489406,0,66.191,68.69,51.235,0,33,32,1410.5,94.31,16.5293,256
1024,32,32,4,1,1.64324,0.0389582,0,63.687,67.056,51.2159,0,33,32,1306.86,104.791,15.3148,1024
1024,16,32,4,1,1.54421,0.0408264,0,66.292,68.113,51.2062,0,33,32,1390.67,92.184,16.2969,512
1024,32,16,4,1,1.52676,0.0505854,0,67.727,67.937,51.2091,0,33,33,1406.57,85.1544,16.4832,512
2048,8,8,4,1,18.1292,0.0646747,13.177,67.039,175.164,51.2093,0,33,33,947.637,59.8645,5.55256,64
2048,16,16,4,1,11.6433,0.0481254,0,72.043,91.117,51.2114,0,33,33,1475.51,70.8304,8.64557,256
2048,32,32,4,1,11.8274,0.0405409,0,65.131,93.235,51.2178,0,33,33,1452.55,104.401,8.51103,1024
2048,16,32,4,1,11.5862,0.0385618,0,69.646,92.148,51.2228,0,33,32,1482.78,80.4847,8.68818,512
2048,32,16,4,1,11.4004,0.0421884,0,68.384,77.209,51.207,0,33,33,1506.95,87.7303,8.82977,512
4096,8,8,4,1,185.474,0.802675,396.213,219.909,243.512,51.2178,0,36,36,741.015,4.39272,2.17094,64
4096,16,16,4,1,97.772,1.57046,207.822,225.856,301.821,55.0731,0,36,36,1405.71,8.23095,4.11829,256
4096,32,32,4,1,87.5266,3.82651,171.624,242.277,299.125,55.1912,0,36,36,1570.25,8.39322,4.60035,1024
4096,16,32,4,1,88.9527,2.39611,190.471,248.024,301.335,53.4436,0,36,36,1545.08,7.94055,4.5266,512
4096,32,16,4,1,91.2595,2.25962,198.855,243.279,312.434,53.639,0,36,36,1506.02,7.94147,4.41218,512
1024,8,8,5,0,1.48888,0.0371509,0,63.304,63.32,53.6697,0,33,33,1442.35,149.71,8.45124,64
1024,16,16,5,0,1.01737,0.0378881,0,59.568,59.665,51.2568,0,33,33,2110.83,253.975,12.3681,256
1024,32,32,5,0,0.895546,0.0459491,0,57.836,58.124,51.2123,0,33,33,2397.96,362.028,14.0506,1024
1024,16,32,5,0,1.01347,0.0427457,0,59.184,59.375,51.2756,0,33,32,2118.94,267.936,12.4156,512
1024,32,16,5,0,1.01611,0.038817,0,59.279,59.665,51.2616,0,33,32,2113.43,263.607,12.3834,512
2048,8,8,5,0,11.5349,0.0469303,0,67.823,91.607,51.2236,0,33,33,1489.38,89.7251,4.36342,64
2048,16,16,5,0,7.64538,0.038426,0,68.976,86.609,51.209,0,32,32,2247.09,126.476,6.58328,256
2048,32,32,5,0,6.61322,0.0479616,0,63.783,74.538,51.2238,0,32,32,2597.81,206.846,7.61077,1024
2048,16,32,5,0,7.64568,0.0356731,0,67.328,93.789,51.209,0,32,32,2247,139.401,6.58302,512
2048,32,16,5,0,7.64105,0.0441688,0,68.111,87.472,51.2102,0,32,32,2248.37,133.033,6.58701,512
4096,8,8,5,0,86.3234,2.84015,169.676,202.703,283.623,51.2084,0,35,35,1592.14,10.5096,2.33224,64
4096,16,16,5,0,59.9899,0.0432589,69.6042,152.395,205.186,55.213,0,34,34,2291.04,23.5747,3.35601,256
4096,32,32,5,0,53.0251,0.0438555,68.385,139.684,181.293,51.2125,0,34,34,2591.96,29.297,3.79682,1024
4096,16,32,5,0,59.9868,0.0355826,76.6108,150.984,205.457,51.2044,0,34,34,2291.15,22.9621,3.35618,512
4096,32,16,5,0,59.9814,0.0344105,74.8365,152.564,205.405,51.2038,0,34,34,2291.36,22.6061,3.35649,512
1024,8,8,5,1,2.07415,0.0355978,0,67.63,71.289,51.2123,0,32,32,1035.36,63.0634,12.1331,64
1024,16,16,5,1,1.51058,0.0385599,0,66.476,68.403,51.2021,0,32,32,1421.63,93.0762,16.6598,256
1024,32,32,5,1,1.63578,0.043445,0,62.918,67.057,51.2022,0,32,32,1312.82,112.055,15.3846,1024
1024,16,32,5,1,1.54417,0.0388123,0,66.38,68.113,51.2011,0,32,32,1390.7,91.6209,16.2973,512
1024,32,16,5,1,1.52294,0.0390904,0,65.614,67.922,51.2062,0,32,32,1410.09,97.8698,16.5245,512
2048,8,8,5,1,18.1562,0.0589732,13.2442,116.4,178.231,51.2107,0,33,33,946.227,14.5151,5.5443,64
2048,16,16,5,1,11.6502,0.0425683,0,69.826,89.657,51.2092,0,33,32,1474.64,79.2099,8.64044,256
2048,32,32,5,1,11.8307,0.0373262,0,66.668,90.066,51.2072,0,32,32,1452.15,93.9246,8.50868,1024
2048,16,32,5,1,11.5895,0.0437247,0,68.288,99.355,51.2148,0,32,32,1482.37,86.8243,8.68574,512
2048,32,16,5,1,11.4066,0.0384756,0,67.904,104.414,51.2081,0,32,32,1506.13,90.2096,8.82499,512
4096,8,8,5,1,185.466,0.772696,398.609,225.035,243.593,51.2074,0,36,36,741.047,4.26311,2.17104,64
4096,16,16,5,1,97.5894,1.66251,220.61,213.217,302.616,54.8737,0,36,35,1408.34,8.89423,4.12599,256
4096,32,32,5,1,87.7508,3.67352,174.151,242.887,300.568,54.8585,0,36,36,1566.24,8.32982,4.5886,1024
4096,16,32,5,1,89.0356,2.50404,175.859,218.107,299.042,53.6683,0,36,36,1543.64,9.38733,4.52239,512
4096,32,16,5,1,91.4289,2.11443,190.029,225.929,307.538,54.194,0,36,36,1503.23,8.75319,4.404,512
